                   MONTHLY CLIMATOLOGICAL SUMMARY for Mar 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   37.4   42.3  17:15   32.0  00:14   27.6    0.0   0.00    2.1    8.9  22:11    197
 02   41.0   43.5  15:33   37.4  07:11   24.0    0.0   0.11    4.4    9.4  05:20    181
 03   34.9   41.9  00:00   25.5  23:59   30.1    0.0   0.08    9.5   20.2  09:46    165
 04   26.2   36.0  16:30   21.2  07:14   38.8    0.0   0.00    6.5   17.6  07:37    171
 05   31.9   48.9  16:10   19.6  05:53   33.1    0.0   0.00    3.0   15.5  12:23    155
 06   40.6   55.9  14:54   20.8  06:11   24.4    0.0   0.00    3.9   16.1  16:56    311
 07   58.6   70.3  14:50   47.5  00:00    6.4    0.0   0.00    8.7   20.7  13:01    349
 08   69.8   80.8  15:26   61.9  02:20    0.0    4.8   0.00    7.6   16.6  23:43      1
 09   68.4   80.8  16:38   50.2  23:59    0.0    3.4   0.65    7.7   27.4  11:52     54
 10   53.3   58.5  15:49   48.7  00:55   11.7    0.0   0.00    6.2   14.0  06:36    191
 11   56.4   63.7  14:41   24.5  07:40    8.6    0.0   0.08    6.4   16.1  03:10    221
 12   60.2   66.7  21:50   55.6  08:54    4.8    0.0   0.07    7.1   27.9  21:22    288
 13   62.8   72.3  18:18   53.6  09:32    2.2    0.0   1.54    9.1   24.8  05:27    332
 14   60.0   67.3  02:28   48.9  23:59    5.0    0.0   0.00    9.3   22.2  04:44    108
 15   49.8   62.2  16:10   41.4  07:20   15.2    0.0   5.21    6.4   19.7  11:54    161
 16   48.8   63.7  14:45   34.0  07:29   16.2    0.0   0.00    2.6   14.0  14:49    208
 17   52.2   73.2  18:09   34.0  07:09   12.8    0.0   0.00    1.4   13.0  16:03    265
 18   56.6   75.4  16:17   37.0  07:34    8.4    0.0   0.00    1.7   11.4  13:13    307
 19   58.6   73.4  14:08   43.0  06:17    6.4    0.0   0.00    3.1   15.5  14:15    329
 20   56.0   70.0  17:22   43.5  05:43    9.0    0.0   0.00    3.2   16.6  13:31    139
 21   60.6   81.0  16:35   41.2  07:25    4.4    0.0   0.00    2.7   14.5  11:27    113
 22   61.4   78.1  16:47   43.3  07:16    3.6    0.0   0.00    3.2   11.4  15:32    291
 23   65.5   71.1  15:25   58.1  07:37    0.0    0.5   0.02    6.9   20.7  13:04    342
 24   70.5   83.8  16:06   62.2  07:20    0.0    5.5   0.00    7.1   18.6  05:17    354
 25   63.6   74.5  14:59   52.5  07:29    1.4    0.0   0.11    5.3   15.5  15:45    167
 26   59.6   72.9  16:28   37.4  07:26    5.4    0.0   0.00    3.7   13.0  10:04    214
 27   62.8   74.5  17:59   49.8  01:16    2.2    0.0   0.00    6.5   17.1  11:04    311
 28   65.5   77.4  17:41   55.0  07:19    0.0    0.5   0.00    8.1   21.7  11:17    333
 29   67.8   79.2  15:55   60.3  06:26    0.0    2.8   0.00    7.3   20.7  15:34    342
 30   55.5   69.4  00:29   46.6  23:52    9.5    0.0   0.08   11.2   24.8  00:45    139
 31   46.4   58.6  17:16   37.9  07:06   18.6    0.0   0.00    5.6   20.7  10:05    184
---------------------------------------------------------------------------------------
      54.9   83.8     24   19.6     05  329.8   17.5   7.95    5.7   27.9     12    267
    

