                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   74.2   84.2  14:17   62.1  23:57    0.0    9.2  28.52    7.2   24.8  20:31    311
 02   68.6   83.8  15:03   60.6  06:56    0.0    3.6   0.53    4.7   20.2  18:22    274
 03   69.1   80.8  13:26   61.0  02:56    0.0    4.1   0.00    3.4   16.6  12:13    274
 04   69.1   80.8  14:32   59.5  23:59    0.0    4.1   0.15    4.0   11.9  16:24    182
 05   71.4   85.3  16:07   55.8  06:20    0.0    6.4   0.00    3.5   13.0  14:43    308
 06   75.8   86.4  14:18   67.6  06:29    0.0   10.8   0.00    5.6   15.5  11:12    331
 07   75.5   88.2  15:54   65.8  04:46    0.0   10.5   0.00    5.7   25.3  18:27    302
 08   66.2   71.6  00:05   61.2  12:05    0.0    1.2   2.37    5.9   22.7  10:40    302
 09   65.6   77.7  12:53   54.5  23:54    0.0    0.6  46.11    5.3   18.1  17:44    176
 10   54.8   59.2  15:41   50.9  04:55   10.2    0.0   0.04    6.0   18.6  00:06    184
 11   59.6   68.5  16:49   56.3  02:15    5.4    0.0   2.04    3.3   11.4  17:39    126
 12   68.2   85.5  17:41   58.3  07:15    0.0    3.2   0.00    2.7   10.9  11:04    115
 13   72.0   84.7  13:39   55.4  06:35    0.0    7.0   0.21    3.5   13.5  10:58    325
 14   74.0   87.6  14:09   59.4  03:30    0.0    9.0   0.00    3.8   13.5  11:24    325
 15   75.8   90.5  15:43   60.6  05:18    0.0   10.8   0.23    3.9   13.5  12:00    341
 16   77.2   86.2  15:07   67.1  03:42    0.0   12.2   0.51    5.9   15.5  15:27    313
 17   76.7   86.5  15:28   66.4  06:40    0.0   11.7  11.12    7.7   17.6  14:23    317
 18   73.0   77.9  12:57   65.5  14:10    0.0    8.0   1.13    7.3   34.6  13:33    343
 19   76.9   86.5  15:51   68.2  06:50    0.0   11.9   0.00    4.4   13.5  09:44    324
 20   78.7   88.3  17:19   71.1  05:15    0.0   13.7   0.00    8.1   21.2  17:09    108
 21   75.1   83.8  16:32   66.4  07:50    0.0   10.1   0.18    7.1   21.2  03:10    149
 22   78.4   90.1  14:27   64.9  01:55    0.0   13.4   0.00    7.2   22.2  13:12    135
 23   82.5   90.7  16:22   75.4  05:45    0.0   17.5   0.00    9.0   18.6  11:42    124
 24   82.1   90.5  15:52   75.6  06:30    0.0   17.1   0.00    8.4   19.1  13:59    132
 25   81.1   90.9  15:05   72.1  06:19    0.0   16.1   0.00    7.0   18.6  12:14    139
 26   80.7   90.1  15:56   72.7  06:21    0.0   15.7   0.00    6.8   16.1  23:56    150
 27   80.4   90.3  16:43   72.9  07:00    0.0   15.4   0.00    8.1   17.6  13:49    160
 28   79.1   88.0  18:45   71.6  05:24    0.0   14.1   0.00    7.5   19.7  15:17    169
 29   77.0   87.4  13:06   69.6  23:18    0.0   12.0   1.12    5.6   18.1  14:26    166
 30   76.1   89.1  16:31   67.5  05:38    0.0   11.1   0.01    4.1   11.9  12:06    355
 31   76.3   89.4  18:42   64.8  05:25    0.0   11.3   0.01    1.7    9.4  10:28    144
---------------------------------------------------------------------------------------
      73.9   90.9     25   50.9     10   15.5  291.7  94.28    5.6   34.6     18    158
    

