                   MONTHLY CLIMATOLOGICAL SUMMARY for Jul 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   81.1   93.4  16:11   72.9  06:26    0.0   16.1   0.17    4.6   16.1  16:55    157
 02   82.9   93.2  14:20   74.5  05:59    0.0   17.9   0.00    5.3   16.6  21:15    164
 03   81.0   93.0  15:49   72.9  05:20    0.0   16.0  23.63    5.3   17.1  18:41    154
 04   84.0   92.5  15:44   76.1  03:01    0.0   19.0   0.00    6.6   15.5  16:20    160
 05   85.0   95.2  15:43   76.3  05:36    0.0   20.0   0.00    6.0   16.6  11:56    166
 06   83.9   96.1  16:12   77.7  23:25    0.0   18.9   0.00    3.8   13.5  16:54    173
 07   87.1  100.6  13:39   76.3  03:04    0.0   22.1   0.00    3.7   13.0  09:53    170
 08   85.8   96.4  15:37   78.1  06:29    0.0   20.8   0.00    3.1   14.5  16:13    160
 09   86.3   96.4  15:24   78.4  06:31    0.0   21.3   0.12    5.2   15.0  14:10    147
 10   86.6   98.2  15:40   77.0  23:53    0.0   21.6   0.00    3.9   19.1  18:38    141
 11   86.0   98.6  16:06   74.5  05:30    0.0   21.0   0.00    4.6   15.5  14:32     24
 12   83.9   95.4  17:04   70.9  06:30    0.0   18.9   0.00    4.1   13.0  19:03     34
 13   84.8   96.6  14:08   74.1  00:41    0.0   19.8   0.00    5.8   19.1  15:18     26
 14   79.7   87.3  17:56   74.7  06:21    0.0   14.7   0.01    6.0   18.1  18:38     20
 15   83.7   98.1  15:47   70.5  06:13    0.0   18.7   0.00    3.7   12.5  11:27    247
 16   88.2   99.0  15:24   79.7  06:09    0.0   23.2   0.00    6.4   15.0  15:12    173
 17   87.1   97.2  17:05   78.1  06:26    0.0   22.1   0.00    7.3   16.6  13:07    167
 18   86.9   97.0  17:05   77.9  06:45    0.0   21.9   0.00    7.7   17.6  12:05    165
 19   87.0   96.6  14:57   77.9  06:36    0.0   22.0   0.00    7.7   17.6  14:00    162
 20   87.1   97.2  15:50   78.3  07:05    0.0   22.1   0.32    7.1   16.6  12:37    161
 21   87.0   97.5  15:33   76.5  06:30    0.0   22.0   0.00    5.4   14.0  14:44    159
 22   86.5   98.6  12:14   76.6  06:13    0.0   21.5   0.00    5.8   18.6  16:04    339
 23   82.3   93.9  15:42   71.2  05:59    0.0   17.3   0.00    5.3   16.6  16:35     23
 24   79.5   91.8  15:24   64.0  06:29    0.0   14.5   0.00    3.2   12.5  12:21     70
 25   78.5   91.6  14:23   62.4  05:58    0.0   13.5   0.00    2.9   11.9  14:43    104
 26   79.2   92.7  14:34   67.3  06:38    0.0   14.2   0.00    2.6   10.4  14:39    138
 27   83.6   95.7  16:45   70.5  00:00    0.0   18.6   8.97    3.7   14.0  14:37    140
 28   86.0   95.9  16:31   76.5  06:58    0.0   21.0   0.00    6.2   14.5  14:55    147
 29   84.1   93.7  16:50   77.4  06:40    0.0   19.1   0.00    4.5   12.5  00:29    170
 30   89.3  103.3  14:28   76.5  06:16    0.0   24.3   0.01    4.2   13.5  21:52     84
 31   86.5   98.6  16:14   72.5  06:35    0.0   21.5   0.00    3.7   10.9  14:11    139
---------------------------------------------------------------------------------------
      84.5  103.3     30   62.4     25    0.0  605.7  33.23    5.0   19.1     10    144
    

