                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   82.7   96.3  16:30   70.3  06:52    0.0   17.7   0.00    1.8   12.5  13:13     69
 02   84.2   97.5  15:11   70.9  06:05    0.0   19.2   0.00    1.9    9.9  16:41     76
 03   84.7   97.2  15:27   71.6  06:44    0.0   19.7  17.61    2.2   10.9  13:08    105
 04   85.0   99.1  14:29   71.4  06:05    0.0   20.0   0.00    2.2   10.9  14:39     72
 05   86.1  100.0  13:02   72.1  06:37    0.0   21.1   0.00    1.7    9.9  14:35    132
 06   86.6  100.6  15:54   71.6  05:58    0.0   21.6  35.48    1.9   11.4  12:49    118
 07   87.0   99.1  13:21   73.6  05:02    0.0   22.0   0.00    3.8   14.5  14:49    131
 08   86.5   97.5  13:54   73.8  07:13    0.0   21.5   0.00    5.4   15.5  14:20    142
 09   84.6   95.2  16:25   74.5  06:38    0.0   19.6   0.00    6.8   16.1  14:37    137
 10   84.3   95.2  15:28   73.4  06:55    0.0   19.3   0.00    6.9   17.6  13:26    139
 11   82.6   94.8  14:50   73.4  07:00    0.0   17.6   0.00    5.4   16.1  18:36    147
 12   83.7   94.6  16:09   72.7  05:43    0.0   18.7   0.13    4.7   15.0  12:57    136
 13   85.1   97.2  15:03   75.0  07:20    0.0   20.1  36.73    2.7   10.9  15:00    141
 14   85.4   99.7  15:08   71.4  07:15    0.0   20.4   0.00    2.7   11.9  14:14     80
 15   85.8   99.7  14:43   72.7  07:03    0.0   20.8   0.00    2.2   15.0  15:55     93
 16   85.1   98.2  13:37   73.8  07:02    0.0   20.1   0.01    2.8   15.0  14:52     84
 17   84.0   96.3  15:23   72.0  07:07    0.0   19.0   0.00    3.6   14.0  15:26    117
 18   80.9   94.6  17:01   71.8  07:06    0.0   15.9   0.13    3.0   22.7  17:59     61
 19   76.1   81.3  12:20   73.4  04:50    0.0   11.1  30.48    4.8   14.0  11:12     63
 20   81.9   95.9  16:12   73.8  00:00    0.0   16.9   0.78    7.4   18.6  18:49    145
 21   82.7   92.3  15:57   75.6  07:14    0.0   17.7   0.00    8.0   19.7  23:38    139
 22   83.3   93.7  15:46   75.2  06:09    0.0   18.3   4.19    6.8   18.6  10:07    157
 23   84.3   94.5  15:23   76.8  05:58    0.0   19.3   0.00    4.6   13.5  00:02    139
 24   84.4   94.5  15:55   75.9  06:20    0.0   19.4   0.00    6.0   15.5  15:48    144
 25   84.8   96.3  14:19   76.1  08:23    0.0   19.8   0.00    6.1   13.0  04:56    148
 26   83.4   94.5  16:23   74.7  07:08    0.0   18.4   0.04    4.8   16.6  08:35    130
 27   82.7   93.6  15:32   72.7  07:19    0.0   17.7   0.00    6.8   17.6  20:44    147
 28   84.3   93.7  14:30   76.5  03:43    0.0   19.3   0.00    7.1   16.1  13:40    143
 29   84.4   93.7  16:23   77.7  05:50    0.0   19.4   0.00    7.8   16.6  13:53    133
 30   82.3   92.8  16:34   72.9  06:10    0.0   17.3   0.00    6.0   14.5  22:00    132
---------------------------------------------------------------------------------------
      84.0  100.6     06   70.3     01    0.0  569.0 125.58    4.6   22.7     18    131
    

