                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.1   58.1  14:41   42.1  07:05   14.9    0.0   0.00    8.0   20.7  09:20    218
 02   46.3   60.4  14:21   37.8  07:03   18.7    0.0   0.00    3.8   13.0  02:05    239
 03   52.2   70.3  14:49   36.3  04:36   12.8    0.0   0.00    3.5   17.1  10:44    130
 04   54.6   73.8  13:58   36.7  07:15   10.4    0.0   0.00    1.4    9.9  11:15    186
 05   60.5   73.2  13:06   48.4  03:58    4.5    0.0   0.00    6.1   20.7  13:26     96
 06   57.8   67.5  14:11   46.9  23:48    7.2    0.0   0.00    7.9   22.2  08:11    235
 07   49.8   65.5  14:10   37.6  06:58   15.2    0.0   0.00    2.3    7.8  13:55    211
 08   58.8   69.8  14:39   47.8  06:09    6.2    0.0   0.00    8.0   27.4  12:53     95
 09   60.4   73.2  12:33   40.6  23:50    4.6    0.0   0.00    7.9   18.1  16:33    200
 10   38.3   44.4  14:14   34.5  05:31   26.7    0.0   0.69    4.9   17.6  00:02    279
 11   41.1   54.9  15:05   28.2  06:55   23.9    0.0   9.92    2.5   10.9  13:15     70
 12   46.0   59.2  14:59   31.8  06:50   19.0    0.0   5.94    3.9   13.5  15:27     79
 13   50.9   68.0  11:44   39.6  00:00   14.1    0.0   0.00    2.7    9.9  03:41    127
 14   50.0   66.2  15:10   35.6  06:09   15.0    0.0   0.00    3.3   13.0  13:22    324
 15   57.8   76.3  14:01   45.9  00:00    7.2    0.0   0.00    5.9   15.5  09:05    121
 16   39.4   45.9  00:00   36.3  23:33   25.6    0.0   0.08    9.3   22.7  17:07    241
 17   38.7   52.3  14:52   30.2  07:20   26.3    0.0   0.72    6.4   20.7  02:13    249
 18   44.3   66.2  11:50   26.1  07:15   20.7    0.0   0.00    2.0   10.9  13:26    147
 19   45.5   61.5  13:41   29.7  04:05   19.5    0.0   0.00    3.7   15.0  14:20     89
 20   44.6   50.2  15:53   40.3  02:16   20.4    0.0   0.02    4.1   11.4  16:34     54
 21   46.2   54.7  11:46   42.8  07:26   18.8    0.0   0.85    2.4    8.9  02:03    322
 22   48.1   61.7  12:15   36.5  23:54   16.9    0.0   0.00    3.0   15.0  13:12    249
 23   60.3   68.4  14:06   32.5  06:17    4.7    0.0   0.00    2.7    7.8  13:24     61
 24   57.1   71.8  14:11   33.3  07:21    7.9    0.0  25.38    3.4   13.5  13:09     80
 25   55.6   72.0  13:11   43.3  07:38    9.4    0.0   0.00    3.9   14.0  11:36    103
 26   55.6   64.6  14:01   52.9  23:15    9.4    0.0   0.00    2.5    7.8  09:52    102
 27   65.9   72.7  14:26   53.6  06:18    0.0    0.9   0.00    4.3    9.4  14:19     41
 28   60.6   66.0  13:29   52.9  23:30    4.4    0.0   0.60    5.6   25.3  15:31     83
 29   47.3   53.1  00:05   37.9  22:19   17.7    0.0   0.04    4.5   18.6  09:07    192
 30   44.0   55.6  14:37   35.2  04:29   21.0    0.0   0.00    4.2   15.0  15:06    201
 31   44.0   58.5  12:18   31.8  07:35   21.0    0.0   0.00    2.4   10.4  13:16    197
---------------------------------------------------------------------------------------
      49.7   76.3     15   26.1     18  444.0    0.9  44.24    4.5   27.4     08    181
    

