                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   50.6   67.8  12:26   32.9  07:21   14.4    0.0   0.00    2.3   10.4  14:43    162
 02   61.2   81.7  15:12   36.9  07:03    3.8    0.0   0.00    4.9   18.1  22:46    113
 03   62.0   73.8  11:47   53.1  04:59    3.0    0.0   0.06    7.5   25.8  11:13    105
 04   51.7   65.7  08:54   38.8  23:40   13.3    0.0   0.03    8.4   20.2  10:02    245
 05   36.1   39.0  12:53   33.1  21:59   28.9    0.0   0.04    9.1   19.1  15:54    248
 06   36.3   47.5  14:16   28.2  07:30   28.7    0.0   0.00    6.4   18.6  15:01    220
 07   46.4   63.1  14:03   33.8  03:14   18.6    0.0   0.00    3.4   14.0  13:05    230
 08   53.4   67.5  14:28   34.9  06:27   11.6    0.0   0.00    4.4   15.0  23:40     58
 09   61.8   66.9  16:07   56.5  02:57    3.2    0.0   0.06    5.8   15.5  00:25     86
 10   46.2   59.9  00:00   40.5  22:55   18.8    0.0   0.36    7.7   18.6  16:59    256
 11   42.5   44.8  13:56   40.6  01:26   22.5    0.0   0.35    7.4   16.6  06:17    284
 12   44.0   49.3  14:11   40.5  20:52   21.0    0.0   1.79    5.0   14.5  09:18    236
 13   39.5   44.2  15:53   31.8  20:50   25.5    0.0   0.00    6.6   17.6  05:38    270
 14   39.4   52.0  15:21   26.1  07:13   25.6    0.0   0.00    4.0   13.0  00:56     11
 15   50.4   64.4  14:16   36.5  05:42   14.6    0.0   0.00    6.4   18.6  14:29     93
 16   61.4   76.8  15:29   48.6  05:14    3.6    0.0   0.00    5.0   15.5  14:37     84
 17   66.4   75.2  15:41   57.9  00:15    0.0    1.4   0.00    6.9   19.7  07:49    107
 18   53.9   62.6  03:15   45.9  12:50   11.1    0.0   0.52    6.1   18.1  09:52    283
 19   44.5   48.6  00:00   41.7  06:55   20.5    0.0  58.96    7.3   18.6  19:05    319
 20   43.9   54.5  14:19   36.7  23:56   21.1    0.0   0.25   10.3   24.3  16:09    288
 21   39.7   52.7  15:45   28.9  06:55   25.3    0.0   0.00    3.8   16.6  00:12    282
 22   48.2   58.6  14:21   40.5  00:00   16.8    0.0   0.00    5.4   15.5  16:48     87
 23   52.8   59.5  23:58   47.7  01:25   12.2    0.0   0.03    7.0   17.6  23:20     89
 24   58.7   66.9  14:39   47.7  23:35    6.3    0.0   0.00    8.8   24.3  12:52    187
 25   50.5   60.8  13:08   41.5  06:17   14.5    0.0   0.00    6.3   19.7  20:00    230
 26   42.0   50.7  14:30   30.2  23:58   23.0    0.0   0.00   10.3   25.8  05:12    238
 27   45.1   61.2  15:17   26.6  04:35   19.9    0.0   0.00    4.4   12.5  09:27    122
 28   51.6   69.6  14:08   35.6  02:53   13.4    0.0  13.52    2.9   11.4  00:15    220
 29   60.2   76.8  14:22   43.2  05:50    4.8    0.0   0.00    6.4   22.2  23:30    102
---------------------------------------------------------------------------------------
      49.7   81.7     02   26.1     14  446.1    1.4  75.97    6.2   25.8     03    215
    

