                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   60.1   72.3  16:41   46.0  05:07    4.9    0.0   0.00    5.0   17.6  11:57     97
 02   64.2   70.0  16:30   57.9  06:25    0.8    0.0   0.22    7.4   19.1  09:54    102
 03   53.9   68.5  09:25   41.0  23:15   11.1    0.0   0.05    7.1   19.7  12:43    253
 04   44.1   48.2  16:35   40.5  03:25   20.9    0.0   0.18    5.2   14.5  05:25    270
 05   55.9   66.7  17:15   46.0  03:20    9.1    0.0   0.00    2.8    9.4  14:16     33
 06   65.0   72.7  14:01   59.2  01:20    0.0    0.0   0.00    2.8   16.6  16:19     99
 07   76.4   88.2  15:08   65.3  00:00    0.0   11.4   0.00    5.4   15.0  12:18    132
 08   80.0   95.9  16:04   67.1  23:58    0.0   15.0   0.00    3.9   15.5  15:46    152
 09   69.5   78.1  11:46   61.9  07:00    0.0    4.5   0.00    4.5   16.6  23:27    334
 10   64.9   74.8  15:13   54.9  07:05    0.1    0.0   0.00    5.5   15.0  04:30      1
 11   62.3   71.4  10:55   55.9  07:05    2.7    0.0   0.10    5.4   15.5  11:50     95
 12   68.9   82.6  14:30   46.8  23:54    0.0    3.9   0.40    7.0   23.3  20:26    210
 13   48.2   58.8  15:24   39.0  07:06   16.8    0.0   0.00    8.6   22.2  15:44    264
 14   49.4   57.7  15:44   43.5  07:15   15.6    0.0   0.00    6.0   19.1  02:42    270
 15   52.4   66.9  15:32   35.8  06:40   12.6    0.0   0.00    2.2   11.4  15:33     29
 16   61.0   73.6  16:13   46.6  06:15    4.0    0.0   0.00    6.8   19.1  18:11     61
 17   57.7   67.6  11:30   48.2  23:59    7.3    0.0   0.23    5.9   15.5  05:05    179
 18   57.1   73.0  16:02   40.8  07:06    7.9    0.0   0.00    3.9   12.5  08:36     11
 19   66.3   76.5  17:41   60.3  23:55    0.0    1.3   0.12    4.1   13.0  22:49     50
 20   62.9   76.5  17:29   52.2  05:30    2.1    0.0   0.00    2.3    8.3  15:05     19
 21   72.1   85.5  15:18   58.5  03:41    0.0    7.1   0.00    4.1   14.0  14:29     39
 22   71.6   83.3  17:19   64.4  09:15    0.0    6.6   0.03    6.9   16.1  01:47     81
 23   70.7   84.9  16:03   58.3  06:52    0.0    5.7   0.00    4.3   16.1  11:42    223
 24   73.5   89.8  15:42   61.3  05:07    0.0    8.5   0.00    7.0   20.7  23:45    108
 25   67.6   80.8  15:34   55.9  23:59    0.0    2.6   0.00    6.2   20.7  00:54    239
 26   68.6   84.7  15:43   49.8  05:26    0.0    3.6   0.00    3.3   12.5  15:24     63
 27   72.8   85.5  15:33   60.1  06:26    0.0    7.8   0.00    7.6   22.2  14:58     79
 28   77.8   90.0  14:39   64.9  23:45    0.0   12.8   0.65    8.9   25.8  23:20    107
 29   69.2   80.1  16:05   16.7  08:25    0.0    4.2   0.01    6.8   23.3  15:00    239
 30   70.0   85.8  12:19   50.7  06:50    0.0    5.0  67.94    2.5   10.9  18:24     92
---------------------------------------------------------------------------------------
      64.5   95.9     08   16.7     29  116.0  100.2  69.93    5.3   25.8     28     99
    

