                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   81.8   95.4  16:38   69.1  06:43    0.0   16.8   0.00    2.1   13.5  18:00     45
 02   84.1   97.7  15:32   69.8  06:44    0.0   19.1   0.00    2.3   13.0  14:32    316
 03   82.6   95.9  15:57   70.0  04:47    0.0   17.6   0.00    2.9   11.4  10:27     34
 04   83.2   95.7  15:24   71.1  06:47    0.0   18.2   0.00    3.3   10.4  15:41     49
 05   81.0   91.9  16:34   74.7  10:33    0.0   16.0   0.00    5.6   16.6  11:13     91
 06   84.9   96.4  16:22   74.5  06:26    0.0   19.9   0.00    5.8   15.0  16:13    128
 07   87.5   97.5  15:58   77.4  07:20    0.0   22.5   0.00    6.0   14.5  13:50    153
 08   87.8   98.1  16:13   77.5  06:51    0.0   22.8   0.00    5.8   15.0  12:57    146
 09   88.0   99.7  15:36   77.0  06:51    0.0   23.0  26.53    6.1   15.5  14:58    159
 10   88.2   99.0  16:13   78.3  06:13    0.0   23.2   0.00    6.4   16.1  16:50    167
 11   89.0   99.7  15:24   79.5  06:38    0.0   24.0   0.00    5.9   15.0  13:59    166
 12   89.8  102.9  13:50   81.0  06:50    0.0   24.8   0.00    5.7   16.1  16:55    149
 13   90.6  102.7  15:57   77.9  06:41    0.0   25.6   0.00    4.9   14.0  13:44    154
 14   91.7  104.0  16:26   81.3  07:05    0.0   26.7   0.00    6.2   14.5  16:00    163
 15   91.0  104.0  15:58   79.3  07:00    0.0   26.0   0.00    4.1    9.9  05:31    142
 16   88.2  107.4  16:27   71.1  20:03    0.0   23.2   0.72    4.5   28.4  19:51    168
 17   82.7   96.8  15:34   72.1  05:09    0.0   17.7   0.00    2.0   11.4  00:15    152
 18   84.5   97.2  13:45   73.0  06:40    0.0   19.5   0.00    3.5   15.0  15:25    307
 19   80.4   95.7  15:05   64.2  06:09    0.0   15.4   0.05    2.7   10.9  13:17    303
 20   82.3   96.3  15:57   70.3  00:53    0.0   17.3   0.00    3.2   11.9  22:40     46
 21   82.2   95.9  14:37   64.6  06:52    0.0   17.2   0.00    2.4   10.9  00:15     63
 22   85.7   99.0  13:57   72.3  06:52    0.0   20.7   0.00    2.6    9.9  15:04     80
 23   85.5   99.1  16:08   68.0  06:59    0.0   20.5   0.00    2.4    8.9  12:54     68
 24   86.4   99.9  14:53   73.4  06:30    0.0   21.4   0.00    3.5   12.5  15:07     27
 25   86.1   99.7  16:34   72.0  06:06    0.0   21.1   0.00    3.5   18.1  14:23    354
 26   82.1   95.4  15:34   73.6  23:59    0.0   17.1   0.02    5.2   25.8  22:23     28
 27   81.9   96.8  17:52   71.4  02:05    0.0   16.9   0.00    3.0   14.0  19:07    349
 28   88.6  105.6  17:13   75.2  03:47    0.0   23.6   0.00    4.9   15.5  21:39    141
 29   90.0  105.6  15:31   76.5  06:54    0.0   25.0   0.01    6.2   13.5  14:46    146
 30   84.6   95.9  18:17   73.0  07:43    0.0   19.6   1.39    5.8   17.6  04:05    122
 31   88.7  100.2  15:52   80.1  07:19    0.0   23.7   0.00    5.6   14.5  12:26    137
---------------------------------------------------------------------------------------
      85.8  107.4     16   64.2     19    0.0  646.0  28.72    4.3   28.4     16    129
    

