                   MONTHLY CLIMATOLOGICAL SUMMARY for Jan 2021


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   38.3   40.3  12:18   35.6  07:35   26.7    0.0   0.03    2.1   15.0  08:10    241
 02   44.3   59.0  14:08   35.2  06:10   20.7    0.0   0.00    0.8   11.4  00:31    242
 03   47.9   67.3  14:47   36.1  04:40   17.1    0.0   0.00    2.4   14.5  12:12    171
 04   49.8   70.3  13:40   34.9  07:34   15.2    0.0  56.52    1.1    9.4  14:41    313
 05   51.1   67.5  14:25   34.2  07:09   13.9    0.0   0.04    2.5   12.5  14:11    104
 06   52.5   61.2  13:30   44.6  23:01   12.5    0.0   0.01    5.5   19.7  17:50    236
 07   45.6   51.6  12:43   42.4  23:40   19.4    0.0   0.00    6.7   22.2  02:26    279
 08   42.7   51.6  15:35   33.6  23:58   22.3    0.0   0.00    1.3   12.5  11:35    291
 09   38.2   53.1  12:42   27.0  06:47   26.8    0.0   0.00    0.9    9.9  13:25     27
 10   35.8   37.4  09:28   33.4  13:05   29.2    0.0   0.07    0.5   11.4  14:30    304
 11   38.5   53.2  16:01   27.5  23:58   26.5    0.0   0.00    0.5    9.9  12:07    298
 12   41.1   56.7  14:30   24.3  02:53   23.9    0.0   0.00    1.4   10.4  13:12    197
 13   46.9   64.8  14:17   28.4  07:25   18.1    0.0   0.00    3.5   13.5  15:37    155
 14   50.4   65.3  14:08    6.2  20:12   14.6    0.0   0.00    4.8   24.8  13:52    282
 15   46.3   54.1  15:03   39.9  23:55   18.7    0.0   0.00    3.6   28.9  14:30    251
 16   45.2   59.2  14:25   32.2  07:12   19.8    0.0   0.19    1.1   10.9  12:51    235
 17   46.0   62.2  15:13   33.8  23:06   19.0    0.0   0.00    1.2   14.5  12:52    255
 18   52.0   69.4  16:11   32.0  02:23   13.0    0.0   0.03    2.5   19.1  15:59    119
 19   52.8   57.4  00:00   48.7  07:50   12.2    0.0   0.05    3.0   15.5  12:15    329
 20   46.5   50.5  13:45   43.9  07:49   18.5    0.0   0.34    0.3    6.8  20:48    335
 21   48.9   52.7  16:11   45.1  04:24   16.1    0.0  14.07    0.6   16.1  15:55    140
 22   49.0   51.6  13:15   46.0  00:51   16.0    0.0   0.01    0.4   10.9  09:40      3
 23   49.5   53.4  15:40   45.7  07:40   15.5    0.0   0.09    0.4    9.9  23:43     70
 24   54.4   62.8  23:48   50.0  06:55   10.6    0.0   0.28    0.0    8.3  18:27     54
 25   59.5   70.0  14:14   43.2  00:00    5.5    0.0   0.37    1.9   19.1  05:43    212
 26   47.3   59.5  15:10   37.6  07:27   17.7    0.0   0.33    0.4    9.9  09:01    322
 27   42.6   51.1  13:43   32.2  23:01   22.4    0.0   0.00    2.4   19.7  14:14    296
 28   39.5   54.1  13:38   28.0  06:50   25.5    0.0   0.00    1.0    9.4  10:24     66
 29   49.4   62.8  16:23   38.8  06:47   15.6    0.0   0.00    3.3   15.5  16:50    119
 30   61.9   78.1  13:38   50.7  00:00    3.1    0.0   0.02    5.8   27.4  05:04    161
 31   48.0   58.6  14:57   40.8  07:16   17.0    0.0   5.19    3.3   24.8  14:19    272
---------------------------------------------------------------------------------------
      47.2   78.1     30    6.2     14  553.1    0.0  77.64    2.1   28.9     15    239
    

