                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2021


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   68.8   78.1  13:12   65.1  23:58    0.0    3.8   0.00    0.1    6.3  16:28    202
 02   72.4   90.7  13:08   57.9  06:24    0.0    7.4   0.00    0.0    4.7  11:08    217
 03   74.5   87.4  13:19   61.0  06:09    0.0    9.5   0.55    0.0    1.1  09:34     22
 04   74.1   85.8  18:07   64.8  06:36    0.0    9.1   0.00    0.0    1.7  16:13     10
 05   77.4   89.4  16:48   66.7  23:59    0.0   12.4   4.51    0.1   10.4  23:52    103
 06   77.4   89.6  15:27   64.9  00:55    0.0   12.4   0.26    0.2   10.4  11:05     51
 07   74.5   81.5  17:54   68.2  10:28    0.0    9.5   0.87    0.0    8.3  10:07    194
 08   79.3   89.6  18:21   72.0  02:36    0.0   14.3   0.07    0.2   15.0  09:42     49
 09   83.3   94.5  17:21   75.6  05:52    0.0   18.3   0.00    0.1    8.9  13:18     80
 10   83.8   94.5  15:40   76.8  06:22    0.0   18.8   0.00    0.1    8.9  10:43     78
 11   84.3   94.8  16:50   77.7  05:55    0.0   19.3   0.00    0.9   13.5  14:17     83
 12   81.5   95.9  15:50   68.4  08:10    0.0   16.5   0.12    0.2   18.1  06:44    280
 13   88.7  106.0  16:23   72.7  06:16    0.0   23.7   0.00    0.0    1.1  13:16     45
 14   88.9  101.7  12:36   78.4  05:15    0.0   23.9   0.07    0.0    1.1  13:51    285
 15   86.6  102.6  13:09   70.9  05:10    0.0   21.6   0.00    0.0    1.1  14:55     90
 16   87.7  104.5  16:33   69.8  05:55    0.0   22.7   0.00    0.0    0.0  00:00     90
 17   88.9  104.2  13:54   72.1  05:59    0.0   23.9   0.00    0.0    1.1  11:36    338
 18   86.1   97.9  14:34   77.0  06:21    0.0   21.1   0.00    0.1   10.4  16:22     15
 19   84.9   97.0  14:34   66.9  06:40    0.0   19.9   0.00    0.1    6.3  15:08     35
 20   86.3   97.2  16:08   76.5  06:21    0.0   21.3   0.00    0.8   14.0  13:46     63
 21   80.6   98.1  13:26   67.3  23:49    0.0   15.6   0.33    0.6   14.5  14:02    341
 22   77.5   90.0  14:19   65.7  06:18    0.0   12.5   0.00    0.0    4.7  09:52    358
 23   84.1   97.3  16:32   74.3  06:11    0.0   19.1   0.00    0.2    9.9  17:45     56
 24   87.0   97.5  16:37   78.4  06:24    0.0   22.0   0.00    0.7   14.0  14:57     60
 25   86.7   96.6  15:12   79.3  05:45    0.0   21.7   0.00    1.3   15.5  12:16     53
 26   85.8   96.3  15:09   77.2  06:10    0.0   20.8   0.00    1.1   15.5  03:58     52
 27   84.1   94.5  15:49   77.2  06:48    0.0   19.1   0.00    0.1   10.4  00:03     40
 28   78.2   91.8  11:57   73.0  06:12    0.0   13.2   1.30    0.0   11.9  14:32    332
 29   81.1   94.5  14:07   73.4  05:30    0.0   16.1   0.21    0.1    6.8  16:08     22
 30   84.1   99.0  13:35   73.8  04:14    0.0   19.1   0.00    0.0    4.2  16:23     28
---------------------------------------------------------------------------------------
      81.9  106.0     13   57.9     02    0.0  508.3   8.29    0.2   18.1     12     58
    

