                   MONTHLY CLIMATOLOGICAL SUMMARY for Feb 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   54.9   63.1  12:29   50.4  22:40   10.1    0.0   0.00    3.3    8.9  09:43    305
 02   57.4   67.1  14:17   49.6  04:50    7.6    0.0   0.00    3.7   10.4  13:40    297
 03   63.2   70.9  15:47   58.5  00:00    1.8    0.0   0.00    6.9   21.7  15:28    339
 04   70.1   82.0  14:28  -39.8  18:49    0.0    5.1   0.00    6.4   20.7  00:26      1
 05   69.9   78.1  13:12   63.9  04:15    0.0    4.9  71.46    6.5   21.2  10:38    345
 06   71.4   76.6  15:36   68.4  06:05    0.0    6.4   0.00    7.7   17.1  12:50    346
 07   44.8   71.2  01:27   28.6  23:52   20.2    0.0   0.41   10.3   26.3  05:01    122
 08   30.3   36.0  15:41   23.0  07:27   34.7    0.0   0.00    4.9   15.5  00:34    184
 09   35.3   38.8  11:46   33.6  19:04   29.7    0.0   0.56    3.7   10.9  07:25    241
 10   39.9   43.9  23:42   35.4  00:05   25.1    0.0   0.15    3.5   11.4  01:13    297
 11   52.3   60.3  14:05   43.9  00:50   12.7    0.0   0.29    5.0   18.1  23:42    359
 12   49.0   59.5  16:09   36.3  23:29   16.0    0.0   0.01    6.9   24.3  04:12    129
 13   49.3   63.1  12:55   30.4  06:51   15.7    0.0   0.00    6.4   21.7  22:04    354
 14   62.0   78.4  15:41   51.8  07:05    3.0    0.0   0.00    9.5   25.8  01:34      6
 15   56.2   76.8  14:07   36.3  23:55    8.8    0.0   0.13    5.7   18.6  20:54    138
 16   37.0   42.4  23:37   33.1  07:47   28.0    0.0  66.72    2.9   13.0  00:41    183
 17   44.6   54.3  15:33   37.4  22:59   20.4    0.0   0.02    5.6   19.7  08:29    163
 18   38.7   43.7  14:52   32.5  07:48   26.3    0.0   9.99    7.2   19.1  07:17    194
 19   37.6   38.8  03:17   35.8  07:25   27.4    0.0   0.62    3.7   14.0  03:59    211
 20   45.5   62.1  15:20   37.6  05:34   19.5    0.0   0.00    3.5   14.5  03:53     54
 21   45.8   52.2  14:31   37.6  01:45   19.2    0.0   0.49    5.0   19.7  15:46    254
 22   47.3   48.9  15:41   45.7  04:50   17.7    0.0   0.08    4.1   12.5  05:16    241
 23   57.4   70.0  14:58   47.3  23:59    7.6    0.0   0.13    8.2   32.0  19:38     71
 24   46.8   63.0  16:03   35.1  07:06   18.2    0.0   0.00    4.3   19.1  00:22    163
 25   49.5   63.7  14:16   -1.2  06:59   15.5    0.0   0.00    4.5   17.1  15:01    308
 26   54.4   61.3  15:23   48.2  01:05   10.6    0.0  15.80    4.0   11.4  11:39    290
 27   51.1   62.6  14:41   32.2  23:55   13.9    0.0   0.04    4.9   17.6  20:11    155
 28   33.1   38.5  14:29   30.2  05:30   31.9    0.0   2.11    5.4   11.9  00:27    140
---------------------------------------------------------------------------------------
      49.8   82.0     04  -39.8     04  441.7   16.4 169.01    5.5   32.0     23    321
    

