                   MONTHLY CLIMATOLOGICAL SUMMARY for Jun 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   77.3   93.4  16:32   64.9  05:40    0.0   12.3   0.11    3.1   22.2  19:56    175
 02   77.1   90.1  18:28   69.1  06:38    0.0   12.1   0.01    3.2   11.9  08:52    138
 03   82.2   93.7  14:25   73.4  02:10    0.0   17.2   0.00    4.7   17.1  14:50    147
 04   80.6   90.5  12:06   71.1  06:13    0.0   15.6   0.00    3.6   10.9  10:39    162
 05   75.8   81.5  16:24   72.1  22:07    0.0   10.8   0.20    3.9   10.9  22:39    142
 06   79.0   94.8  16:40   71.4  05:45    0.0   14.0   0.02    2.9   14.5  20:16    261
 07   78.1   90.0  17:47   68.4  06:25    0.0   13.1   0.00    3.8   15.0  14:51    309
 08   81.9   93.0  18:05   69.6  06:10    0.0   16.9   0.00    3.2   11.4  16:51     30
 09   79.2   93.2  12:31   68.2  14:19    0.0   14.2   0.77    3.7   23.8  14:48     87
 10   75.6   86.2  15:26   68.0  06:29    0.0   10.6   0.00    6.1   19.1  05:01      3
 11   71.9   82.8  18:25   62.2  00:00    0.0    6.9   0.01    2.3   10.9  11:11    105
 12   74.9   91.2  16:57   60.6  01:58    0.0    9.9  12.26    4.2   18.6  15:00    315
 13   77.1   94.1  18:18   61.3  03:25    0.0   12.1   0.00    3.1   13.0  15:06     68
 14   80.2   91.2  14:18   68.7  06:10    0.0   15.2   0.00    7.0   21.7  18:15    161
 15   84.0   94.3  15:43   74.3  06:04    0.0   19.0   0.00    9.2   20.7  14:56    170
 16   71.5   83.1  00:00   65.5  04:01    0.0    6.5   2.73    6.1   23.3  16:43    135
 17   75.6   90.7  16:57   64.0  06:28    0.0   10.6   0.00    2.4   10.9  14:25    139
 18   82.1   93.2  16:09   68.2  04:59    0.0   17.1   3.33    3.7   13.0  18:05    149
 19   83.1   95.4  16:32   70.2  05:04    0.0   18.1   0.49    6.2   24.8  03:49    169
 20   84.5   97.2  15:47   70.5  00:00    0.0   19.5   0.00    5.9   17.6  15:32    166
 21   87.2   97.0  16:38   80.2  06:50    0.0   22.2   0.00    9.4   20.7  12:46    170
 22   85.1   93.2  14:04   79.7  06:21    0.0   20.1   0.00    8.1   20.7  12:37    164
 23   83.8   93.9  16:58   67.5  21:41    0.0   18.8   1.83    9.0   20.2  10:23    170
 24   74.7   84.2  16:47   68.0  03:06    0.0    9.7   0.01    4.7   13.0  09:05    126
 25   80.9   91.4  16:53   73.2  05:15    0.0   15.9   0.00    6.0   16.1  19:23    140
 26   80.7   91.8  15:20   70.7  03:40    0.0   15.7   0.00    5.2   22.2  20:13    155
 27   81.0   91.6  15:45   71.2  04:23    0.0   16.0   0.00    4.4   11.4  19:20    146
 28   84.1   94.6  14:32   72.5  06:29    0.0   19.1   0.00    4.3   12.5  15:48    159
 29   82.5   99.0  15:22   72.0  23:55    0.0   17.5   0.44    2.8   20.7  17:33    151
 30   78.4   90.1  15:30   68.7  04:56    0.0   13.4   0.00    2.8   10.9  17:54    117
---------------------------------------------------------------------------------------
      79.7   99.0     29   60.6     12    0.0  440.2  22.21    4.8   24.8     19    153
    

