                   MONTHLY CLIMATOLOGICAL SUMMARY for Aug 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   85.9   97.0  14:58   76.8  06:56    0.0   20.9   0.01    3.3   11.4  13:14    143
 02   86.7   97.7  14:26   77.9  06:50    0.0   21.7   0.00    4.2    9.9  18:12    126
 03   81.7   89.1  16:47   76.5  09:59    0.0   16.7   0.28    3.1   10.9  03:49    125
 04   84.2   96.8  16:53   76.1  08:13    0.0   19.2   0.00    2.5   10.4  17:30    109
 05   86.7   98.4  15:18   74.5  06:11    0.0   21.7   0.00    2.1    9.9  11:34    106
 06   88.4  101.1  14:47   78.1  06:32    0.0   23.4   0.00    3.3   11.4  15:18    149
 07   90.0  100.6  15:30   80.4  06:45    0.0   25.0   0.00    5.1   13.0  14:17    158
 08   87.1   95.9  18:55   78.8  07:05    0.0   22.1   0.00    5.4   12.5  14:02    156
 09   88.9  100.6  14:41   78.8  06:42    0.0   23.9   0.00    5.7   14.5  13:10    155
 10   89.1  100.0  17:02   78.3  06:31    0.0   24.1   0.00    5.6   13.0  14:30    158
 11   89.0   99.9  15:56   78.4  06:38    0.0   24.0   0.12    5.5   13.0  13:48    153
 12   90.0  101.3  16:40   79.5  06:30    0.0   25.0   0.00    5.4   13.5  15:56    155
 13   90.9  103.5  15:45   78.4  06:50    0.0   25.9   0.00    3.3   10.4  14:50    155
 14   86.3  101.7  18:54   74.3  07:34    0.0   21.3  11.34    3.3   17.6  04:43     38
 15   87.8   99.9  16:11   75.0  05:44    0.0   22.8   0.00    2.7   10.9  17:02    120
 16   89.1  100.6  16:05   77.4  07:01    0.0   24.1   0.00    5.1   12.5  13:47    142
 17   89.0   99.7  16:47   79.7  06:53    0.0   24.0   0.00    6.7   15.5  12:55    151
 18   88.7   99.1  17:46   78.4  06:49    0.0   23.7   0.00    6.7   15.0  06:37    155
 19   89.5  100.6  16:07   78.4  06:49    0.0   24.5   0.00    4.6   12.5  12:56    153
 20   90.3  101.7  16:11   78.3  06:28    0.0   25.3   0.00    2.4   11.9  14:53    142
 21   88.8   99.5  16:05   78.4  05:16    0.0   23.8   0.00    4.8   13.0  14:16    149
 22   88.6   98.8  16:10   78.3  06:47    0.0   23.6   8.74    5.4   15.0  13:01    158
 23   86.7   97.5  12:45   77.5  07:02    0.0   21.7   0.01    5.3   19.1  13:01    108
 24   83.8   97.0  16:38   77.0  06:34    0.0   18.8   9.01    4.4   18.1  16:49    124
 25   87.3   99.1  16:15   75.2  07:06    0.0   22.3   0.00    3.4   10.4  16:15    122
 26   89.9  102.0  16:04   78.8  06:08    0.0   24.9   0.00    7.2   19.1  15:04    162
 27   80.2   88.3  00:00   71.2  07:58    0.0   15.2   0.18    4.5   23.3  06:38    113
 28   83.8   97.7  14:27   73.4  06:35    0.0   18.8   0.04    2.6   11.4  16:57     93
 29   87.0   98.4  15:47   75.6  04:36    0.0   22.0   0.00    4.0   12.5  13:07    134
 30   80.3   95.4  13:18   72.3  16:30    0.0   15.3   0.04    4.8   27.4  14:31    125
 31   75.3   85.3  17:00   70.0  09:02    0.0   10.3   1.16    3.1   21.2  09:02     80
---------------------------------------------------------------------------------------
      86.8  103.5     13   70.0     31    0.0  676.1  30.93    4.4   27.4     30    142
    

