                   MONTHLY CLIMATOLOGICAL SUMMARY for Oct 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   83.3   93.2  15:18   75.2  07:45    0.0   18.3   0.00    6.8   16.1  10:52    142
 02   83.6   95.2  15:51   72.1  07:23    0.0   18.6   0.00    5.3   17.6  15:00    150
 03   83.9   95.7  16:04   70.5  07:29    0.0   18.9   0.00    3.4    9.9  13:37    119
 04   79.9   91.8  16:16   72.0  07:39    0.0   14.9  31.91    3.3   12.5  14:08     41
 05   80.7   94.1  15:45   68.7  07:34    0.0   15.7   0.00    3.5   11.9  15:38    128
 06   81.9   97.2  15:02   65.3  00:00    0.0   16.9   0.00    5.0   19.1  21:41    148
 07   68.7   81.3  15:53   59.7  07:26    0.0    3.7   0.00    6.5   19.1  10:09      9
 08   67.9   82.0  16:30   50.9  07:25    0.0    2.9   0.00    3.3   13.0  15:54     84
 09   74.6   87.6  16:19   63.1  06:37    0.0    9.6   0.00    7.2   16.6  15:49    135
 10   79.1   92.3  16:11   58.3  00:00    0.0   14.1   0.44    7.7   19.1  14:08    157
 11   52.3   64.8  15:27   41.7  08:04   12.7    0.0   0.32    8.1   21.7  03:15    320
 12   51.6   68.5  16:15   32.9  06:45   13.4    0.0   0.00    1.9   10.4  10:29     47
 13   64.0   77.5  14:47   48.6  00:00    1.0    0.0   0.01    3.8   16.6  14:06    139
 14   66.2   75.4  14:05   58.5  05:42    0.0    1.2   0.05    4.2   11.9  23:03    119
 15   75.3   85.3  16:12   66.4  23:56    0.0   10.3   0.44    5.0   20.2  23:52    163
 16   60.8   70.9  14:50   50.9  23:34    4.2    0.0   0.38    5.1   20.7  02:54      2
 17   56.5   73.2  14:55   44.1  07:17    8.5    0.0   5.58    1.6    8.3  13:01    121
 18   62.7   77.7  16:51   46.0  07:24    2.3    0.0   0.33    4.1   10.9  13:55    125
 19   70.6   87.4  15:25   57.9  02:47    0.0    5.6   0.55    4.0   13.0  10:14    199
 20   70.7   88.5  15:59   52.9  07:55    0.0    5.7   0.00    4.2   24.8  21:37    139
 21   63.5   79.0  00:39   47.7  23:26    1.5    0.0   0.98    4.7   35.1  00:41    246
 22   57.9   78.6  01:54   42.6  07:44    7.1    0.0   0.00    1.3    7.8  10:39    360
 23   66.3   81.7  15:23   49.6  00:00    0.0    1.3  28.50    7.0   19.1  12:41    105
 24   63.7   77.0  13:51   56.8  18:43    1.3    0.0   1.17    6.8   16.6  13:19     98
 25   50.1   57.0  00:00   46.6  08:05   14.9    0.0   0.55    7.0   16.1  07:08    242
 26   55.9   69.3  15:40   48.4  06:07    9.1    0.0   0.01    5.5   18.1  10:26    238
 27   61.2   77.4  15:35   49.6  06:19    3.8    0.0   0.00    4.7   15.0  11:53    115
 28   58.1   68.2  16:05   50.4  23:40    6.9    0.0   0.05    3.8   11.9  08:26    148
 29   46.8   50.4  00:00   44.6  07:05   18.2    0.0   0.51    4.6   12.5  03:52    290
 30   43.2   45.0  12:12   38.7  23:55   21.8    0.0   0.52    8.8   22.2  22:40    259
 31   38.8   52.9  15:58   29.8  07:34   26.2    0.0   0.00    5.4   18.6  01:14    251
---------------------------------------------------------------------------------------
      65.1   97.2     06   29.8     31  153.1  157.8  72.30    5.0   35.1     21    153
    

