                   MONTHLY CLIMATOLOGICAL SUMMARY for Nov 2019


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   43.1   61.7  15:25   26.1  03:54   21.9    0.0  18.14    3.3   13.5  15:12    106
 02   46.7   65.8  14:16   32.7  03:17   18.3    0.0   0.00    2.7   17.6  11:36    318
 03   51.0   69.3  13:30   31.8  05:21   14.0    0.0   0.20    3.8   16.6  16:41    105
 04   62.1   78.1  14:06   49.5  06:57    2.9    0.0   0.00    5.5   17.1  11:38    115
 05   63.3   66.2  13:36   56.8  01:05    1.7    0.0   0.17    2.0    6.8  10:26      9
 06   69.1   77.5  13:51   63.3  00:49    0.0    4.1   0.00    4.6   13.0  12:41    103
 07   51.6   67.6  01:30   42.6  16:11   13.4    0.0   0.74    5.9   20.2  15:01    280
 08   44.9   56.3  14:39   36.7  23:25   20.1    0.0  35.81    3.0   11.9  01:46    312
 09   51.8   67.8  14:44   36.0  02:52   13.2    0.0   0.00    2.9   10.4  14:00    117
 10   61.0   75.7  13:26   47.3  00:15    4.0    0.0   0.00    5.7   14.5  14:20    115
 11   47.8   65.7  10:36   28.6  23:51   17.2    0.0   0.10    9.3   27.9  11:43    245
 12   29.5   42.4  14:54   21.9  23:58   35.5    0.0   0.00    5.4   21.7  01:25    260
 13   35.8   48.6  14:01   19.6  02:52   29.2    0.0   0.00    5.1   14.0  09:11     83
 14   47.2   61.5  14:54   38.8  23:54   17.8    0.0   0.00    3.4   17.1  11:10    259
 15   45.4   66.9  12:05   29.3  07:03   19.6    0.0   0.00    1.7    9.4  14:09    257
 16   47.0   65.7  13:43   29.5  05:36   18.0    0.0  19.01    2.8   10.9  11:02     62
 17   51.8   73.8  12:34   34.3  06:50   13.2    0.0   2.61    2.1    9.4  11:01    154
 18   55.1   76.1  12:18   35.1  05:48    9.9    0.0   0.00    1.8   11.4  12:11    135
 19   60.7   82.9  14:00   39.7  06:30    4.3    0.0   0.00    2.8   12.5  14:22     51
 20   66.2   77.9  16:24   56.1  06:01    0.0    1.2   0.00    6.8   21.2  15:10     72
 21   67.6   79.5  12:07   53.6  23:53    0.0    2.6   0.29    6.0   16.1  21:51     75
 22   47.3   53.6  00:00   41.4  23:55   17.7    0.0   0.68    7.2   16.6  10:33    234
 23   43.8   57.6  14:44   34.9  06:57   21.2    0.0   0.00    2.6   14.5  14:07    199
 24   53.7   73.0  13:48   32.7  06:14   11.3    0.0   0.00    2.7    9.4  11:22    111
 25   58.8   74.7  15:26   49.1  06:48    6.2    0.0   0.00    3.7   13.5  01:34    101
 26   64.8   70.9  15:38   52.2  00:40    0.2    0.0   0.01    6.3   18.6  23:40    113
 27   48.3   57.7  00:00   40.5  07:13   16.7    0.0   0.00    6.5   20.2  00:58    266
 28   45.2   49.1  00:05   42.8  06:23   19.8    0.0   0.50    6.5   14.5  11:48    309
 29   54.6   69.8  21:30   44.1  00:11   10.4    0.0   0.51    4.8   15.5  21:04     35
 30   66.5   72.0  03:02   54.3  23:42    0.0    1.5  41.44    7.6   20.7  02:43    174
---------------------------------------------------------------------------------------
      52.7   82.9     19   19.6     13  377.6    9.4 120.21    4.5   27.9     11    127
    

