                   MONTHLY CLIMATOLOGICAL SUMMARY for Sep 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   80.8   90.9  10:57   70.7  19:56    0.0   15.8   1.15    7.2   21.7  10:03    135
 02   74.9   80.6  13:36   71.8  08:10    0.0    9.9   0.64    3.4   15.0  01:06    161
 03   75.6   82.4  16:46   69.3  08:06    0.0   10.6   0.00    2.4    9.9  12:43    129
 04   79.9   90.3  10:31   71.8  03:12    0.0   14.9   0.00    2.9   11.4  15:38    105
 05   80.7   94.9  14:10   74.1  07:02    0.0   15.7  23.68    1.8   10.4  12:35     56
 06   81.5   92.1  16:44   71.8  03:38    0.0   16.5   0.00    3.2   13.5  13:15    147
 07   84.3   95.4  15:35   74.1  06:44    0.0   19.3  69.58    5.3   13.5  12:23    141
 08   81.0   92.5  15:16   74.3  06:49    0.0   16.0   0.00    6.3   20.7  17:52    123
 09   77.2   88.0  14:27   65.8  23:59    0.0   12.2   1.73    3.6   11.9  11:31    127
 10   64.3   72.5  16:07   57.9  07:15    0.7    0.0   0.13    5.4   13.0  10:06    279
 11   71.8   82.9  15:06   63.7  06:45    0.0    6.8   0.00    3.2   12.5  08:50    299
 12   77.8   96.4  15:19   66.4  07:05    0.0   12.8   0.00    1.9    8.3  13:00    331
 13   79.1  107.8  07:46   68.0  05:45    0.0   14.1   0.02    3.4   12.5  16:21    348
 14   79.0   92.1  14:51   67.8  06:25    0.0   14.0   0.00    4.3   13.5  16:52      4
 15   81.2   93.4  16:17   72.7  07:23    0.0   16.2   0.00    4.0   12.5  15:14      7
 16   79.5   94.1  12:05   69.4  06:25    0.0   14.5   0.00    1.6    8.3  14:58      0
 17   79.8   93.6  14:41   70.0  23:59    0.0   14.8  60.38    2.5   15.5  15:12     10
 18   76.1   89.8  14:02   65.5  05:08    0.0   11.1   0.00    3.7   13.5  18:46      7
 19   71.2   84.4  15:34   62.4  07:10    0.0    6.2   0.16    4.1   11.9  13:24     24
 20   71.7   85.6  16:12   56.8  06:44    0.0    6.7   0.00    4.4   14.5  13:25     27
 21   68.5   73.4  11:41   65.3  20:20    0.0    3.5   0.41    5.7   14.5  12:31     27
 22   66.9   70.2  13:41   65.3  00:00    0.0    1.9   0.31    4.4   10.4  13:49     22
 23   67.5   75.4  15:24   62.8  07:30    0.0    2.5   5.53    3.8   15.5  11:56    356
 24   69.5   85.1  16:39   62.8  23:58    0.0    4.5   0.00    3.2   10.9  10:22    333
 25   70.3   83.8  15:56   55.6  06:52    0.0    5.3   0.00    3.4   11.9  11:01    126
 26   74.0   90.0  15:03   64.2  04:42    0.0    9.0   0.60    5.9   14.0  12:48    130
 27   78.2   90.0  15:30   66.4  23:53    0.0   13.2   0.81    8.0   25.8  23:48    144
 28   66.5   80.1  14:47   53.8  23:16    0.0    1.5   0.01    6.2   22.2  00:45    321
 29   66.0   84.9  14:25   51.6  06:53    0.0    1.0   0.01    2.8   15.0  14:22    257
 30   71.5   97.0  15:18   48.2  06:55    0.0    6.5   0.00    2.5   11.9  16:11    169
---------------------------------------------------------------------------------------
      74.9  107.8     13   48.2     30    0.7  296.7 165.15    4.0   25.8     27     56
    

