                   MONTHLY CLIMATOLOGICAL SUMMARY for Dec 2020


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   44.4   59.9  14:26   26.2  01:03   20.6    0.0   0.28    4.1   18.6  12:17    134
 02   47.8   57.2  16:23   37.6  23:56   17.2    0.0   0.04    3.1   13.5  18:45    157
 03   41.8   50.4  11:23   35.1  03:30   23.2    0.0   0.00    3.0   15.5  11:42    264
 04   43.2   60.3  15:34   30.6  05:36   21.8    0.0   0.00    0.9    9.4  03:04    242
 05   47.3   68.4  13:07   28.9  06:21   17.7    0.0  61.69    0.7    7.3  11:02    238
 06   52.4   63.0  14:31   43.2  23:59   12.6    0.0   0.00    3.2   15.5  13:16    280
 07   48.7   65.8  15:11   37.4  03:45   16.3    0.0   0.00    1.7   11.9  10:51    278
 08   51.8   75.4  13:55   34.7  06:54   13.2    0.0   0.00    1.3    9.9  14:13    256
 09   54.0   81.0  14:45   31.1  06:31   11.0    0.0   0.00    1.0    8.3  14:11    180
 10   59.9   78.8  15:01   39.7  02:25    5.1    0.0   0.00    4.0   16.6  14:35    140
 11   59.2   68.4  15:12   44.1  23:58    5.8    0.0   0.33    3.8   15.5  00:22    162
 12   46.0   59.4  15:10   37.9  07:12   19.0    0.0   0.00    1.7   12.5  09:43    284
 13   39.6   42.6  00:20   36.0  21:03   25.4    0.0   0.93    6.1   25.3  18:02    310
 14   40.7   55.2  13:40   31.5  07:02   24.3    0.0   0.00    0.8   15.0  04:28    281
 15   39.0   42.3  12:16   36.3  00:23   26.0    0.0   0.27    0.8   11.4  12:08     67
 16   36.1   46.8  14:14   27.7  21:11   28.9    0.0   0.08    1.2   14.0  03:21    280
 17   43.6   65.8  14:17   24.3  07:07   21.4    0.0   0.00    0.7    9.4  23:36    189
 18   50.5   62.1  13:49   38.3  06:41   14.5    0.0   0.00    3.2   15.5  14:04    127
 19   51.8   59.9  15:20   36.7  23:55   13.2    0.0   0.00    1.5   16.1  13:31    282
 20   46.5   66.2  14:47   30.6  06:33   18.5    0.0   0.00    1.5   13.5  13:01    250
 21   50.8   74.7  12:46   33.3  07:30   14.2    0.0   0.00    1.2    9.9  13:59    165
 22   55.4   72.5  14:31   38.1  02:50    9.6    0.0   0.00    4.2   19.7  13:40    138
 23   57.9   73.8  12:12   36.3  23:50    7.1    0.0   0.01    8.9   29.4  20:28    236
 24   41.2   54.1  14:35   29.5  07:00   23.8    0.0   0.00    2.5   21.2  00:36    257
 25   45.6   61.3  13:39   28.2  07:30   19.4    0.0   0.00    0.2    8.3  15:23    142
 26   52.9   70.3  13:37   36.5  07:18   12.1    0.0   0.00    2.4   17.6  15:48    143
 27   57.1   75.6  16:08   43.9  23:24    7.9    0.0   0.00    3.1   22.2  09:54    159
 28   52.9   64.0  15:08   43.9  00:05   12.1    0.0  22.96    3.0   15.0  09:01     27
 29   61.1   71.2  14:09   54.9  00:00    3.9    0.0   0.00    5.4   17.1  18:39    104
 30   48.7   60.6  07:05   36.9  23:59   16.3    0.0   0.91    5.6   19.1  10:51    317
 31   38.6   41.5  20:45   36.9  00:00   26.4    0.0   4.54    5.3   23.3  17:46    344
---------------------------------------------------------------------------------------
      48.6   81.0     09   24.3     17  508.6    0.0  92.04    2.8   29.4     23    209
    

