                   MONTHLY CLIMATOLOGICAL SUMMARY for Apr 2021


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   54.6   73.2  13:49   38.1  06:10   10.4    0.0   0.00    0.0    3.7  13:57    278
 02   55.3   70.0  15:29   37.8  06:42    9.7    0.0   0.00    0.8   10.9  09:28     45
 03   61.8   72.0  17:06   55.6  07:03    3.2    0.0   0.00    0.8   14.5  13:44     57
 04   64.5   75.9  16:04   57.2  07:15    0.5    0.0   0.00    0.0    4.7  15:47     89
 05   66.3   79.3  15:42   55.8  04:16    0.0    1.3   0.00    0.8   15.0  12:59     76
 06   71.7   81.9  16:18   64.0  03:10    0.0    6.7   0.00    3.0   18.6  13:46     69
 07   70.1   79.7  16:20   53.2  23:48    0.0    5.1   0.00    2.0   19.7  15:21    145
 08   68.2   86.9  13:53   47.5  06:14    0.0    3.2   0.00    0.1    7.8  15:04     49
 09   73.1   83.5  17:11   62.6  23:58    0.0    8.1   0.00    1.2   21.2  22:41     83
 10   62.1   76.6  16:45   48.4  23:59    2.9    0.0   0.00    1.1   15.0  10:59    218
 11   66.8   85.5  16:56   45.1  02:48    0.0    1.8   0.00    0.7   10.9  16:31     74
 12   71.7   87.8  16:46   57.6  06:57    0.0    6.7   0.00    0.3   14.5  13:00     45
 13   69.1   85.6  15:26   53.4  07:30    0.0    4.1   0.20    0.2    9.9  04:51    276
 14   64.3   71.2  12:26   56.7  06:30    0.7    0.0   0.05    0.7   11.9  18:30    296
 15   58.3   64.4  13:57   54.7  07:00    6.7    0.0   0.35    0.3   14.0  10:15    324
 16   56.7   59.7  13:27  -14.4  17:21    8.3    0.0   0.85    0.0    5.3  07:32    312
 17   54.7   64.4  13:50   47.8  07:06   10.3    0.0   0.00    0.6   13.5  10:11    223
 18   56.5   72.1  16:21   42.8  03:11    8.5    0.0   0.00    0.3   11.9  16:26    213
 19   60.6   82.4  15:38   39.0  06:45    4.4    0.0   0.00    0.3    9.4  10:09     95
 20   55.1   67.8  09:24   41.4  23:50    9.9    0.0   0.00    1.2   15.0  09:43    235
 21   51.6   65.8  13:39   33.4  06:42   13.4    0.0   0.00    0.0    5.8  14:25    307
 22   58.9   68.5  13:47   52.9  04:55    6.1    0.0  67.49    0.4   11.9  16:37     36
 23   65.1   73.6  17:23   61.3  00:00    0.0    0.1   0.26    1.4   19.1  16:34     42
 24   62.3   74.7  15:18   51.4  23:57    2.7    0.0   0.30    0.2   12.5  00:19    226
 25   65.1   82.4  15:32   46.6  06:36    0.0    0.1   0.00    0.7   13.5  08:33     44
 26   71.5   81.7  16:22   62.2  06:50    0.0    6.5   0.00    1.7   14.0  14:24     57
 27   70.9   75.7  14:25   66.9  03:25    0.0    5.9   0.02    0.7   13.0  17:32     60
 28   76.0   83.5  13:30   71.4  05:55    0.0   11.0   0.00    0.6   11.9  10:12     53
 29   67.9   75.6  00:00   65.8  23:15    0.0    2.9   1.45    0.2   11.4  17:21    272
 30   64.8   67.1  17:30   61.0  10:49    0.2    0.0   0.20    0.2   14.5  11:02    336
---------------------------------------------------------------------------------------
      63.9   87.8     12  -14.4     16   97.9   63.5  71.17    0.7   21.2     09     65
    

