                   MONTHLY CLIMATOLOGICAL SUMMARY for May 2021


NAME: Rowlett, TX                  
ELEV: 458 feet    LAT: 32-56.13 N    LONG: 096-33.10 W


                   TEMPERATURE (F), RAIN (in), WIND SPEED (mph)

                                         HEAT   COOL         AVG
      MEAN                               DEG    DEG          WIND                   DOM
DAY   TEMP   HIGH   TIME    LOW   TIME   DAYS   DAYS   RAIN  SPEED   HIGH   TIME    DIR
---------------------------------------------------------------------------------------
 01   67.0   80.8  13:28   61.7  03:35    0.0    2.0   0.01    0.0    5.8  20:44    341
 02   71.8   85.3  16:40   63.5  03:57    0.0    6.8   0.03    0.1    8.3  10:04     51
 03   77.7   90.9  15:16   66.2  23:56    0.0   12.7   0.26    1.3   19.7  21:15     79
 04   66.5   76.5  16:36   55.6  23:50    0.0    1.5   0.00    0.3   12.5  07:38    210
 05   63.7   80.8  16:30   45.7  06:50    1.3    0.0  45.70    0.0    3.7  10:28    325
 06   69.6   87.3  16:13   53.4  03:45    0.0    4.6   0.35    0.0    4.2  14:15    286
 07   71.6   86.4  17:23   55.0  06:10    0.0    6.6   0.00    0.7   13.0  16:50     48
 08   75.7   88.2  17:48   62.1  06:33    0.0   10.7   0.01    3.7   23.3  15:36     93
 09   76.9   89.8  13:17   63.9  00:00    0.0   11.9   0.00    1.8   19.1  03:12    103
 10   58.8   63.9  00:00   55.9  23:50    6.2    0.0   0.83    0.1    9.4  19:38    293
 11   57.5   61.2  17:42   55.6  03:32    7.5    0.0   0.90    0.1    8.3  12:57    270
 12   58.6   64.2  14:40   55.4  07:50    6.4    0.0   0.02    0.1    9.4  18:31    280
 13   66.6   80.4  14:45   57.7  23:35    0.0    1.6   0.00    0.0    7.8  17:14    308
 14   67.9   80.2  15:42   56.7  01:28    0.0    2.9   0.00    0.2    7.8  17:54     58
 15   72.7   85.1  15:15   61.2  04:45    0.0    7.7   0.00    0.2   10.9  11:29     68
 16   70.0   74.3  16:06   67.8  06:33    0.0    5.0   1.55    0.1   13.0  10:54     57
 17   73.5   83.5  15:29   65.3  09:48    0.0    8.5   0.20    0.3   13.0  03:04     91
 18   68.8   76.6  18:20   63.9  12:50    0.0    3.8   0.41    0.2   14.5  02:29    232
 19   74.2   88.2  13:57   62.6  06:31    0.0    9.2   0.00    0.1   10.9  02:31     31
 20   71.4   83.1  16:13   65.5  06:12    0.0    6.4   0.36    0.1    6.3  17:39     30
 21   75.9   87.8  16:13   68.9  06:00    0.0   10.9   0.00    0.2   13.0  19:46     45
 22   73.3   81.1  15:31   69.6  23:42    0.0    8.3  21.63    0.5   10.4  23:15     29
 23   73.4   84.7  14:01   68.2  02:01    0.0    8.4   0.06    0.1    9.9  15:34     54
 24   71.8   82.0  13:48   67.6  09:00    0.0    6.8   0.18    0.4   14.0  08:34     43
 25   73.7   84.4  16:45   67.6  12:43    0.0    8.7   0.58    0.3    9.9  02:40     83
 26   80.0   92.8  14:53   71.6  00:00    0.0   15.0   0.00    0.1   10.4  16:13     58
 27   81.1   89.8  16:05   74.5  04:36    0.0   16.1   0.00    1.2   14.5  17:34    100
 28   73.9   87.6  12:37   65.5  02:28    0.0    8.9   0.66    0.2   15.0  00:43    282
 29   75.3   88.3  14:27   65.5  06:13    0.0   10.3   0.00    0.0    5.8  10:12    296
 30   69.8   79.9  14:27   62.1  07:21    0.0    4.8   0.00    0.1    7.3  05:44    336
 31   68.1   78.3  14:20   65.3  07:55    0.0    3.1   1.45    0.2   10.4  21:08     10
---------------------------------------------------------------------------------------
      70.9   92.8     26   45.7     05   21.3  203.0  75.19    0.4   23.3     08     82
    

